id,x1,x2,x3,y
1022,0.57,6,1,82.5
1023,0.68,7,4,82.9
1024,0.85,5,3,83.7
1025,0.29,7,4,95.6
1026,0.3,4,1,100
1027,0.2,2,3,85.8
1028,0.71,4,2,89.4
1029,0.24,7,1,83.1
1030,0.22,7,2,73.4
1031,0.42,3,3,98.1
1032,0.36,4,3,92.8
1033,0.3,6,2,91.1
1034,0.22,3,3,80.3
1035,0.58,7,4,82.7
1036,0.59,8,3,95.5
1037,0.5,2,2,89.9
1038,0.64,2,2,92.6
1039,0.65,5,4,89.7
1040,0.53,3,2,84.5
1041,0.35,6,1,100
1042,0.58,2,4,86
1043,0.29,7,4,91.6
1044,0.62,4,4,95.3
1045,0.69,4,3,89.1
1046,0.43,7,4,87.8
1047,0.54,3,1,85
1048,0.52,3,2,78.6
1049,0.86,2,2,91.7
1050,0.58,5,2,92.3
1051,0.43,6,2,84.5
1052,0.45,4,4,91.2
1053,0.23,4,2,83
1054,0.75,2,1,93.2
1055,0.37,8,2,98.5
1056,0.52,8,2,81.6
1057,0.63,6,2,96.3
1058,0.58,4,4,90.2
1059,0.53,3,4,89
1060,0.68,4,3,96
1061,0.51,3,4,75.5
1062,0.45,4,2,91.2
1063,0.56,3,3,86.7
1064,0.42,3,4,79.1
1065,0.61,7,3,88.5
1066,0.69,5,4,76.2
1067,0.75,5,3,93.2
1068,0.49,6,3,85.8
1069,0.5,3,3,85.7
1070,0.34,4,4,91
1071,0.46,4,1,95.9
1072,0.75,6,2,96.9
1073,0.45,3,4,89.5
1074,0.79,7,3,86.5
1075,0.43,5,3,85.7
1076,0.83,6,2,96.4
1077,0.49,7,3,81.6
1078,0.36,5,2,88.9
1079,0.38,6,4,85.3
1080,0.36,3,3,90.6
1081,0.76,2,3,87.2
1082,0.8,4,3,94.1
1083,0.33,4,3,78.1
1084,0.81,7,3,88.6
1085,0.31,5,3,81.4
1086,0.62,5,2,78.9
1087,0.25,4,4,93.9
1088,0.59,8,2,79.1
1089,0.83,2,4,78.1
1090,0.42,5,2,87.9
1091,0.63,3,2,85.9
1092,0.42,8,3,97.2
1093,0.35,6,3,90.4
1094,0.47,2,4,84.9
1095,0.29,4,2,88.5
1096,0.43,8,2,94.2
1097,0.35,3,3,95.1
1098,0.61,5,4,91.4
1099,0.46,3,2,87.4
1100,0.85,2,2,100
1101,0.74,4,3,84.3
1102,0.64,2,1,99.7
1103,0.88,2,4,84.8
1104,0.71,2,1,96.8
1105,0.29,7,1,96.9
1106,0.67,5,2,80.9
1107,0.61,4,2,93
1108,0.66,2,2,94.4
1109,0.3,5,4,85.6
1110,0.49,4,1,94.8
1111,0.43,3,2,94
1112,0.75,5,4,80.2
1113,0.84,5,4,88.2
1114,0.83,4,3,81.3
1115,0.37,3,2,79.3
1116,0.59,6,2,82.6
1117,0.39,4,2,81.9
1118,0.61,8,2,88.9
1119,0.74,5,2,100
1120,0.37,3,3,86.6
1121,0.44,3,3,85.6
1122,0.72,2,3,93.1
1123,0.62,6,3,92.1
1124,0.55,3,4,80.1
1125,0.52,4,3,93
1126,0.75,2,3,91.6
1127,0.56,4,4,85
1128,0.51,3,3,78.9
1129,0.54,3,3,98.9
1130,0.86,3,1,86.2
1131,0.86,7,2,82.5
1132,0.29,8,3,76.7
1133,0.59,3,3,90
1134,0.31,3,3,96.9
1135,0.52,8,4,73.5
1136,0.37,6,2,81.2
1137,0.27,7,2,91.4
1138,0.66,7,1,89.2
1139,0.55,6,3,78.8
1140,0.62,7,2,95.5
1141,0.52,3,3,95.3
1142,0.87,8,3,92.2
1143,0.77,6,2,89.1
1144,0.4,5,1,84.3
1145,0.54,7,2,86.7
1146,0.63,8,4,94.2
1147,0.42,3,2,81.7
1148,0.62,2,4,87.4
1149,0.82,5,2,86.9
1150,0.76,5,3,88.1
1151,0.73,2,1,100
1152,0.41,2,2,96.7
1153,0.34,5,4,88.2
1154,0.77,5,2,94.4
1155,0.59,7,1,90.2
1156,0.37,3,3,75
1157,0.68,7,1,92.9
1158,0.78,3,3,97.8
1159,0.78,2,3,94.3
1160,0.29,2,1,82.2
1161,0.2,4,4,83.4
1162,0.78,7,3,84.1
1163,0.9,6,3,94.1
1164,0.22,2,3,85
1165,0.67,8,3,89
1166,0.69,8,2,92.2
1167,0.43,3,4,83.8
1168,0.63,4,1,89.7
1169,0.5,8,2,93.8
1170,0.79,7,4,77.6
1171,0.81,4,2,100
1172,0.2,4,2,100
1173,0.31,6,2,95.3
1174,0.67,3,1,95.4
1175,0.76,7,3,82.8
1176,0.45,2,3,81.2
1177,0.25,4,2,81.7
1178,0.81,4,3,90.9
1179,0.51,7,2,91.4
1180,0.22,4,2,87.7
1181,0.68,3,3,84.2
1182,0.28,4,4,88.2
1183,0.42,5,3,86.5
1184,0.73,4,2,97.9
1185,0.4,6,2,88.4
1186,0.58,4,2,100
1187,0.36,6,3,87.3
1188,0.78,4,1,100
1189,0.9,5,4,100
1190,0.88,3,1,94.7
1191,0.5,3,3,97.7
1192,0.63,4,3,93.5
1193,0.49,7,2,84.1
1194,0.5,8,1,100
1195,0.81,8,3,84.9
1196,0.57,6,3,86.6
1197,0.27,7,2,86.4
1198,0.43,4,1,83.3
1199,0.31,8,2,87.2
1200,0.85,5,1,98.7
1201,0.32,6,4,94.3
1202,0.26,6,1,80.6
1203,0.28,4,2,81.1
1204,0.64,3,4,86.3
1205,0.29,3,3,92
1206,0.58,5,4,84.1
1207,0.25,4,4,73.6
1208,0.6,2,4,85.7
1209,0.29,5,2,82.3
1210,0.78,5,2,97.9
1211,0.44,2,2,95.3
1212,0.66,3,4,77.5
1213,0.49,6,1,93.5
1214,0.82,4,4,82.8
1215,0.24,2,1,97.5
1216,0.62,5,2,88.9
1217,0.77,5,3,90.3
1218,0.66,3,1,79.2
1219,0.69,2,2,97.8
1220,0.79,3,1,90.7
1221,0.31,6,2,83.4
1222,0.57,3,2,94.5
1223,0.73,3,3,89.1
1224,0.28,7,2,89.4
1225,0.53,7,3,81.3
1226,0.22,4,3,85.9
1227,0.82,2,3,81.3
1228,0.48,4,4,87.3
1229,0.47,7,2,89
1230,0.3,8,3,78
1231,0.41,2,1,92.5
1232,0.8,4,1,92.1
1233,0.82,8,4,86.8
1234,0.27,7,2,84.3
1235,0.85,7,4,86.5
1236,0.63,6,2,84.6
1237,0.23,2,2,80.9
1238,0.21,5,2,81.4
1239,0.21,7,2,93.2
1240,0.75,8,1,94.3
1241,0.66,4,3,88.7
1242,0.23,8,4,80.8
1243,0.76,3,2,96.2
1244,0.74,2,4,77.6
1245,0.64,8,2,88.1
1246,0.6,7,4,84
1247,0.58,7,3,96.2
1248,0.69,5,3,93.3
1249,0.39,7,3,92.9
1250,0.75,6,2,100
1251,0.53,2,3,80.3
1252,0.28,3,2,84.2
1253,0.74,7,2,88.6
1254,0.52,2,4,77
1255,0.45,8,4,91.6
1256,0.47,5,1,91.2
1257,0.77,5,2,80.4
1258,0.9,5,3,98.2
1259,0.68,3,3,98.5
1260,0.46,7,4,79.4
1261,0.63,4,3,97
1262,0.43,6,3,85.9
1263,0.86,3,2,91.5
1264,0.72,5,2,87.2
1265,0.85,7,3,100
1266,0.34,5,1,86.4
1267,0.44,2,3,82.7
1268,0.22,6,3,86.1
1269,0.71,6,3,99.4
1270,0.34,2,1,93.5
1271,0.62,6,4,86.4
1272,0.51,2,4,93.1
1273,0.35,2,2,93.1
1274,0.23,7,2,90
1275,0.71,6,2,97
1276,0.24,5,4,88.7
1277,0.28,4,4,77.4
1278,0.49,8,1,92.3
1279,0.78,3,1,86.8
1280,0.5,6,3,83
1281,0.59,6,3,90.8
1282,0.68,5,3,82.4
1283,0.68,2,2,97.6
1284,0.58,2,3,83.2
1285,0.59,5,4,90.5
1286,0.65,3,3,96.8
1287,0.74,4,2,80.5
1288,0.58,4,3,93
1289,0.68,2,2,86
1290,0.25,3,2,88
1291,0.21,7,3,87.4
1292,0.57,2,2,84.5
1293,0.54,5,3,82
1294,0.79,2,3,91.3
1295,0.46,5,4,80.3
1296,0.39,5,4,93.9
1297,0.62,5,3,94.5
1298,0.77,7,1,85.8
1299,0.27,5,2,94.9
1300,0.33,8,3,85.9
1301,0.6,3,2,90.7
1302,0.89,2,4,88.9
1303,0.48,4,2,94.7
1304,0.78,6,3,85.1
1305,0.6,5,1,84.6
1306,0.61,7,3,100
1307,0.64,5,1,88.4
1308,0.23,5,3,89.8
1309,0.64,6,4,100
1310,0.59,3,4,92.2
1311,0.37,6,1,96.5
1312,0.73,4,2,93.1
1313,0.67,2,1,86.9
1314,0.65,5,2,90.9
1315,0.3,5,2,87.7
1316,0.87,7,2,86.1
1317,0.89,7,3,100
1318,0.59,4,3,81
1319,0.87,5,2,86.7
1320,0.32,3,3,89
1321,0.78,4,3,87.8
1322,0.47,7,2,90
1323,0.7,7,1,89.4
1324,0.46,6,3,100
1325,0.63,7,2,78.8
1326,0.84,8,2,90
1327,0.5,6,4,96.3
1328,0.48,7,4,96.7
1329,0.51,4,4,78.6
1330,0.66,6,2,100
1331,0.74,4,4,80.3
1332,0.45,3,1,88.5
1333,0.74,3,2,79.4
1334,0.68,3,4,86.5
1335,0.27,3,3,86.8
1336,0.66,5,3,93.3
1337,0.46,6,3,93.3
1338,0.89,3,3,92.6
1339,0.86,4,1,98.7
1340,0.53,6,3,81.2
1341,0.61,4,3,80.7
1342,0.54,3,2,95
1343,0.87,7,2,89.4
1344,0.72,6,3,87.7
1345,0.7,4,3,83.9
1346,0.67,7,2,100
1347,0.62,5,3,85.1
1348,0.44,5,2,93
1349,0.6,7,2,84.7
1350,0.79,3,3,90.1
1351,0.51,3,3,85.3
1352,0.64,7,2,84.6
1353,0.28,4,1,84.3
1354,0.68,3,1,90.5
1355,0.66,6,3,89.1
1356,0.52,7,3,98.5
1357,0.41,5,3,85.3
1358,0.37,5,3,81.1
1359,0.52,7,4,74.7
1360,0.75,7,3,93.2
1361,0.29,7,3,79.4
1362,0.48,7,3,97.3
1363,0.22,8,3,82.5
1364,0.45,3,3,92.8
1365,0.61,7,3,88.4
1366,0.43,6,1,100
1367,0.55,7,4,81
1368,0.25,7,4,73.5
1369,0.26,3,2,86.3
1370,0.24,8,1,100
1371,0.36,3,2,84.3
1372,0.69,6,4,96.5
1373,0.36,6,1,97.8
1374,0.51,3,1,90.4
1375,0.69,3,4,75.3
1376,0.57,7,3,81.9
1377,0.49,3,2,78.7
1378,0.5,7,2,100
1379,0.3,2,2,91.1
1380,0.73,3,3,97.1
1381,0.72,5,1,90.7
1382,0.35,8,3,82.7
1383,0.31,4,4,72
1384,0.61,3,3,95.7
1385,0.35,6,2,92.6
1386,0.26,5,2,82.8
1387,0.8,6,3,85.8
1388,0.85,4,3,100
1389,0.51,2,3,87.7
1390,0.61,3,3,92.7
1391,0.38,4,4,90.3
1392,0.4,6,2,98.6
1393,0.73,5,1,89.3
1394,0.25,4,3,83.5
1395,0.36,7,2,90.1
1396,0.24,2,2,91.8
1397,0.52,8,2,97.2
1398,0.57,6,1,100
1399,0.37,5,3,74.1
1400,0.75,3,1,96.7
1401,0.79,6,4,99.7
1402,0.58,5,3,82.4
1403,0.83,5,4,95.5
1404,0.79,8,3,91.7
1405,0.24,8,2,81.8
1406,0.73,3,1,95.4
1407,0.22,6,4,70.5
1408,0.57,5,3,89.7
1409,0.63,6,4,89.5
1410,0.34,7,3,91
1411,0.81,6,3,86
1412,0.45,4,1,87
1413,0.59,4,2,100
1414,0.55,4,3,81
1415,0.27,2,3,96
1416,0.79,6,1,86
1417,0.29,7,3,96.3
1418,0.58,5,3,84.5
1419,0.4,7,2,78.6
1420,0.36,4,2,82.8
1421,0.87,5,1,100
1422,0.51,7,3,82.2
1423,0.44,3,3,83.3
1424,0.41,4,3,93.7
1425,0.83,3,4,96.1
1426,0.41,4,3,84.6
1427,0.35,6,3,91.3
1428,0.36,6,2,96.3
1429,0.55,7,1,94.2
1430,0.73,6,3,100
1431,0.35,6,4,88.3
1432,0.23,7,3,77.1
1433,0.55,8,2,100
1434,0.51,3,1,79.4
1435,0.67,2,3,94.4
1436,0.27,4,2,99.6
1437,0.48,6,2,100
1438,0.72,7,1,95.9
1439,0.43,3,2,77.6
1440,0.49,7,3,96
1441,0.3,7,3,86.4
1442,0.58,6,2,99
1443,0.36,7,2,88.2
1444,0.3,8,3,75.4
1445,0.59,6,3,90.3
1446,0.56,2,2,89.9
1447,0.89,3,4,89.3
1448,0.73,8,1,91.6
1449,0.77,4,3,85.6
1450,0.71,6,2,99
1451,0.32,2,2,82.9
1452,0.39,7,2,98.4
1453,0.31,5,4,90.5
1454,0.57,4,4,80.9
1455,0.83,5,3,84.8
1456,0.25,3,2,89.9
1457,0.52,3,2,90.6
1458,0.82,5,3,88.7
1459,0.86,5,3,82.9
1460,0.4,5,4,80.6
1461,0.52,2,3,93.8
1462,0.87,7,4,78.8
1463,0.36,5,4,81.4
1464,0.25,5,1,98.7
1465,0.33,7,2,98.9
1466,0.71,7,2,91.1
1467,0.66,7,2,91.9
1468,0.88,2,2,94.6
1469,0.77,5,1,99.1
1470,0.45,6,2,90.7
1471,0.74,6,4,87.2
1472,0.73,6,4,87.2
1473,0.27,6,4,84
1474,0.83,4,1,92.3
1475,0.64,2,4,91.8
1476,0.77,7,1,89.6
1477,0.44,6,2,80.6
1478,0.75,6,4,88.2
1479,0.37,3,3,85.5
1480,0.5,6,3,87.6
1481,0.45,6,2,90.4
1482,0.87,7,4,92.7
1483,0.44,5,1,96.3
1484,0.77,3,3,87.3
1485,0.51,8,3,95.8
1486,0.41,7,3,86.3
1487,0.45,4,1,95
1488,0.29,6,3,78.2
1489,0.47,5,2,79.4
1490,0.5,6,1,95.1
1491,0.4,7,3,87
1492,0.23,4,1,95
1493,0.8,2,2,92.7
1494,0.22,7,3,76.7
1495,0.38,4,2,79.1
1496,0.74,7,2,94.9
1497,0.86,3,3,95.6
1498,0.45,7,2,94.4
1499,0.6,4,2,100
1500,0.29,2,2,86.5
1501,0.6,3,1,100
1502,0.76,2,1,98.4
1503,0.28,3,3,76
1504,0.22,7,3,89.7
1505,0.29,4,2,80.6
1506,0.53,6,2,94.1
1507,0.26,2,3,85.7
1508,0.25,5,3,90.7
1509,0.88,4,3,96.2
1510,0.64,6,2,100
1511,0.52,8,3,97.3
1512,0.6,5,4,81
1513,0.68,6,3,94.1
1514,0.43,3,3,73.5
1515,0.45,7,2,92
1516,0.8,5,3,88.1
1517,0.26,2,1,90.9
1518,0.27,8,3,83.8
1519,0.38,7,3,90.6
1520,0.89,6,2,85
1521,0.3,7,2,91.7
1522,0.86,4,4,96.2
1523,0.26,5,1,83.4
1524,0.34,3,1,89.5
1525,0.38,4,1,96.4
1526,0.79,6,3,94
1527,0.6,6,4,89.3
1528,0.59,6,2,96.4
1529,0.86,5,3,91.8
1530,0.24,4,3,87.2
1531,0.33,7,1,86.9
1532,0.2,6,2,81.7
1533,0.84,3,1,88.3
1534,0.8,2,3,91.8
1535,0.75,3,4,82.4
1536,0.22,6,3,80.2
1537,0.31,5,2,86.7
1538,0.48,4,2,100
1539,0.49,3,3,80.1
1540,0.83,5,2,92.8
1541,0.44,7,2,91.1
1542,0.77,2,2,80
1543,0.21,2,3,81.1
1544,0.89,7,3,92.5
1545,0.56,3,1,85.4
1546,0.48,6,4,81.8
1547,0.83,3,3,93.3
1548,0.31,4,4,78.6
1549,0.74,6,1,96.5
1550,0.3,3,1,77.5
1551,0.21,6,2,76.1
1552,0.85,4,2,81.7
1553,0.32,7,2,97.8
1554,0.79,2,2,95.1
1555,0.71,5,3,94.5
1556,0.38,3,2,81.6
1557,0.76,5,2,92.5
1558,0.26,8,2,80.8
1559,0.58,7,1,94.8
1560,0.87,3,1,93
1561,0.59,6,2,100
1562,0.88,4,1,96.2
1563,0.77,2,2,100
1564,0.7,3,4,91.4
1565,0.2,6,3,83.1
1566,0.68,7,3,95.5
1567,0.73,6,2,96.5
1568,0.73,5,2,97.1
1569,0.65,5,2,80.1
1570,0.7,3,3,97.4
1571,0.39,3,2,89.6
1572,0.33,5,3,75.5
1573,0.87,7,1,92.8
1574,0.76,2,4,74
1575,0.23,2,3,73.9
1576,0.48,4,1,93.5
1577,0.88,6,4,100
1578,0.75,4,4,78.1
1579,0.63,7,4,98.1
1580,0.29,4,2,94.5
1581,0.74,6,2,96.8
1582,0.5,4,2,98.3
1583,0.28,4,4,80.7
1584,0.8,3,2,90.2
1585,0.43,7,4,76.7
1586,0.79,6,4,86.8
1587,0.34,7,3,82.8
1588,0.24,2,3,90.7
1589,0.65,6,3,90.6
1590,0.41,3,4,79.2
1591,0.33,7,1,91.9
1592,0.51,3,1,94.3
1593,0.57,7,3,100
1594,0.66,5,1,100
1595,0.68,7,3,86.4
1596,0.8,5,3,82.8
1597,0.84,6,3,97.6
1598,0.38,8,3,78.2
1599,0.75,2,1,83
1600,0.32,3,4,71.4
1601,0.73,3,3,99
1602,0.82,6,4,95.5
1603,0.86,4,2,93.1
1604,0.59,8,3,93.7
1605,0.46,3,2,83
1606,0.88,4,3,95.9
1607,0.89,7,3,87.7
1608,0.79,6,1,95.3
1609,0.35,8,2,98.2
1610,0.78,7,4,89.6
1611,0.54,7,3,85.5
1612,0.37,4,2,93.2
1613,0.35,7,3,76.2
1614,0.73,5,4,92.9
1615,0.38,4,2,87
1616,0.25,4,2,81.8
1617,0.47,7,3,82.7
1618,0.73,5,4,85.5
1619,0.76,6,2,92.8
1620,0.54,6,2,95.9
1621,0.48,7,2,91.7
1622,0.28,4,2,92
1623,0.74,6,2,84.5
1624,0.54,4,1,97.3
1625,0.74,8,3,100
1626,0.46,5,1,100
1627,0.32,7,4,79.3
1628,0.75,4,4,77.3
1629,0.47,2,2,94.1
1630,0.37,2,2,84.3
1631,0.74,7,2,100
1632,0.79,3,4,83.5
1633,0.64,5,1,96.1
1634,0.4,3,2,88.2
1635,0.88,6,3,99.9
1636,0.4,2,2,84.9
1637,0.3,7,4,82.7
1638,0.24,7,1,86.5
1639,0.73,3,2,89.7
1640,0.33,2,4,88.5
1641,0.61,3,4,93.4
1642,0.26,6,3,82.5
1643,0.86,3,4,85
1644,0.65,8,2,93.6
1645,0.56,7,1,87.9
1646,0.41,5,2,86.2
1647,0.49,7,4,88
1648,0.61,7,2,98.2
1649,0.61,6,3,86.8
1650,0.41,7,4,84.4
1651,0.24,4,2,96.2
1652,0.5,6,3,96
1653,0.84,8,2,88.9
1654,0.65,6,1,91.3
1655,0.68,4,3,91.9
1656,0.34,2,4,97.2
1657,0.77,7,4,80.8
1658,0.42,3,2,93.7
1659,0.4,2,3,86.5
1660,0.36,5,1,92.3
1661,0.53,5,3,91.3
1662,0.54,2,1,91.2
1663,0.77,3,2,92.6
1664,0.74,8,1,90.2
1665,0.43,6,3,96.6
1666,0.35,7,3,88.2
1667,0.55,6,4,96
1668,0.55,6,2,100
1669,0.63,3,2,87.7
1670,0.59,4,1,100
1671,0.89,2,3,85.8
1672,0.64,8,4,89
1673,0.84,8,2,92.5
1674,0.3,5,3,78.7
1675,0.57,5,4,77.4
1676,0.72,7,2,87
1677,0.26,7,1,86.9
1678,0.22,6,4,74.5
1679,0.56,5,3,81.3
1680,0.71,3,2,100
1681,0.29,2,2,90.3
1682,0.58,5,2,94.3
1683,0.67,6,2,84.4
1684,0.58,4,3,86
1685,0.87,2,4,83.9
1686,0.74,5,3,97.1
1687,0.81,6,3,85.9
1688,0.89,7,3,96.7
1689,0.67,2,2,93.6
1690,0.41,6,3,80.3
1691,0.6,7,3,91.8
1692,0.85,3,2,98.6
1693,0.75,4,2,83.6
1694,0.2,2,3,87.2
1695,0.24,6,1,99.9
1696,0.79,5,4,99.5
1697,0.29,7,3,87.5
1698,0.42,5,2,97
1699,0.76,3,2,100
1700,0.76,6,3,86.5
1701,0.81,6,2,82.2
1702,0.69,7,2,100
1703,0.27,5,3,81.1
1704,0.74,7,4,87.9
1705,0.88,7,4,79.9
1706,0.53,8,2,77.6
1707,0.81,3,2,88.8
1708,0.5,2,2,83.5
1709,0.67,5,2,81.5
1710,0.48,8,2,94.7
1711,0.33,4,2,91.3
1712,0.5,4,4,90.5
1713,0.59,8,4,89.4
1714,0.8,2,2,92.9
1715,0.83,6,2,98.2
1716,0.4,5,1,88
1717,0.34,5,3,85
1718,0.71,7,1,96.4
1719,0.71,4,2,87.9
1720,0.4,3,1,96.9
1721,0.26,5,4,92.4
1722,0.51,3,4,91.6
1723,0.39,6,2,94
1724,0.89,3,3,88.7
1725,0.34,7,4,90.4
1726,0.46,4,1,98.3
1727,0.89,5,3,86.1
1728,0.38,5,4,95.9
1729,0.82,5,3,90.5
1730,0.56,4,1,90.3
1731,0.24,4,4,78.3
1732,0.48,8,2,90.4
1733,0.71,8,2,90.4
1734,0.8,6,1,85.6
1735,0.88,7,1,93.9
1736,0.67,3,2,93.9
1737,0.47,6,4,81.5
1738,0.45,6,2,98.8
1739,0.7,4,4,89.2
1740,0.66,6,4,84.3
1741,0.77,8,2,92
1742,0.83,4,3,78.3
1743,0.41,5,4,97.7
1744,0.51,6,2,87.7
1745,0.3,4,2,87.5
1746,0.76,4,3,88
1747,0.44,4,2,88.5
1748,0.82,7,3,96
1749,0.25,3,2,91.2
1750,0.62,3,3,93.5
1751,0.4,3,2,84.9
1752,0.66,5,2,84.9
1753,0.36,6,4,89.7
1754,0.7,4,3,97.6
1755,0.42,3,1,89.4
1756,0.55,4,4,89.6
1757,0.21,5,3,82.1
1758,0.84,7,4,87.1
1759,0.51,4,2,99.9
1760,0.43,3,4,75.1
1761,0.22,6,1,94.1
1762,0.59,3,3,96.1
1763,0.28,4,2,93.6
1764,0.39,3,2,95.7
1765,0.41,3,3,94.9
1766,0.79,6,3,98.3
1767,0.38,5,3,84
1768,0.4,3,3,83.3
1769,0.89,5,1,100
1770,0.65,3,1,93.7
1771,0.31,4,1,95.7
1772,0.52,2,3,91.1
1773,0.56,6,1,81.3
1774,0.76,7,1,90.8
1775,0.35,6,2,85
1776,0.54,3,3,87
1777,0.28,6,3,82.7
1778,0.26,2,1,96.3
1779,0.78,6,2,97.6
1780,0.45,4,2,75.7
1781,0.3,5,3,90.4
1782,0.47,3,2,87
1783,0.64,3,4,87.5
1784,0.82,6,2,94.5
1785,0.49,7,1,95.9
1786,0.51,2,3,92.9
1787,0.6,6,2,100
1788,0.21,7,4,93.7
1789,0.82,3,1,85.9
1790,0.67,7,3,80
1791,0.66,7,1,86.9
1792,0.84,3,4,89.7
1793,0.77,7,4,97.8
1794,0.65,8,3,85.7
1795,0.88,4,1,100
1796,0.48,7,1,88.2
1797,0.37,3,2,75.4
1798,0.33,7,2,88.1
1799,0.2,7,3,91.5
1800,0.61,4,1,92.1
1801,0.21,3,4,82.6
1802,0.84,7,1,91.1
1803,0.88,6,4,90.5
1804,0.75,6,1,100
1805,0.81,4,2,100
1806,0.87,7,3,83.9
1807,0.64,8,4,84
1808,0.56,3,3,99.6
1809,0.22,3,3,93.7
1810,0.36,6,1,97.6
1811,0.87,7,1,100
1812,0.57,7,2,86.5
1813,0.78,7,4,88.7
1814,0.37,2,2,76
1815,0.29,8,1,82.3
1816,0.2,7,3,96.6
1817,0.4,5,2,92.2
1818,0.71,5,4,74.7
1819,0.47,5,2,92.7
1820,0.39,6,3,97.6
1821,0.4,6,1,96.5
1822,0.89,3,3,85.4
1823,0.74,3,2,96.1
1824,0.72,4,2,100
1825,0.73,6,2,87.1
1826,0.35,6,4,81.1
1827,0.42,6,3,90.7
1828,0.83,4,2,91.5
1829,0.59,8,3,85.4
1830,0.7,8,2,95.1
1831,0.89,3,3,81.9
1832,0.47,3,2,83
1833,0.3,7,3,94.3
1834,0.64,3,2,88.4
1835,0.59,6,2,100
1836,0.24,7,2,80.7
1837,0.5,7,3,93.1
1838,0.82,2,3,81.6
1839,0.47,3,2,94.4
1840,0.39,7,2,86.3
1841,0.62,7,3,100
1842,0.3,2,2,76.8
1843,0.42,7,2,84.1
1844,0.58,5,1,84.3
1845,0.37,6,2,97.2
1846,0.42,3,3,87.8
1847,0.84,7,1,97.2
1848,0.8,7,4,100
1849,0.34,4,1,81.3
1850,0.55,3,4,88.9
1851,0.22,6,2,86.2
1852,0.78,3,1,85.8
1853,0.42,7,3,84.1
1854,0.76,7,1,100
1855,0.6,7,2,84.6
1856,0.9,4,3,85.7
1857,0.37,2,2,88
1858,0.72,2,2,94.2
1859,0.39,7,3,93.9
1860,0.34,5,3,80.7
1861,0.74,6,4,82.3
1862,0.29,5,4,92.9
1863,0.5,3,4,86.1
1864,0.76,8,3,87.8
1865,0.3,8,4,91.7
1866,0.72,7,2,100
1867,0.23,7,2,85.7
1868,0.39,4,1,97.7
1869,0.6,7,2,97.7
1870,0.76,7,1,83.1
1871,0.46,5,2,88.7
1872,0.56,3,3,89.8
1873,0.86,6,4,99.9
1874,0.46,7,3,88.2
1875,0.67,4,4,79.9
1876,0.68,5,2,87.2
1877,0.78,5,2,84.6
1878,0.3,5,2,84.8
1879,0.7,2,2,99
1880,0.63,3,3,94.4
1881,0.7,4,2,91.1
1882,0.27,3,4,82.9
1883,0.6,5,4,81.4
1884,0.52,7,3,95.7
1885,0.75,3,2,93.4
1886,0.77,8,2,100
1887,0.5,4,4,80.4
1888,0.83,7,3,95.2
1889,0.45,4,3,94
1890,0.28,6,1,95.8
1891,0.55,2,1,88.3
1892,0.27,3,2,73.1
1893,0.22,3,2,82.1
1894,0.66,4,4,85.8
1895,0.55,2,2,100
1896,0.86,3,1,93.7
1897,0.31,4,4,84.1
1898,0.41,6,1,93.3
1899,0.74,7,4,91.6
1900,0.83,8,3,89.3
1901,0.24,6,1,94.8
1902,0.54,3,2,100
1903,0.25,6,4,80.1
1904,0.35,4,1,90.6
1905,0.8,7,1,100
1906,0.25,3,2,74.4
1907,0.87,3,3,99.6
1908,0.52,5,1,93.7
1909,0.54,7,3,100
1910,0.28,6,3,83.3
1911,0.27,4,3,81
1912,0.33,6,3,75.3
1913,0.75,6,2,100
1914,0.81,6,2,83
1915,0.35,5,2,82.6
1916,0.45,6,3,80.6
1917,0.4,7,3,75.2
1918,0.5,4,3,90.9
1919,0.82,4,1,88.8
1920,0.87,6,1,100
1921,0.84,6,1,100
1922,0.32,6,3,74.5
1923,0.61,7,1,98.7
1924,0.57,6,2,100
1925,0.62,6,2,86.3
1926,0.28,2,3,82.9
1927,0.84,3,4,92.9
1928,0.52,8,2,98.7
1929,0.2,6,4,89.1
1930,0.69,3,2,94.4
1931,0.37,6,2,89.7
1932,0.76,7,3,100
1933,0.46,5,4,91.2
1934,0.28,6,3,86.4
1935,0.66,4,1,87.2
1936,0.87,8,1,83.7
1937,0.24,5,2,85.5
1938,0.42,3,3,80.8
1939,0.59,8,2,91.2
1940,0.77,3,1,100
1941,0.56,6,2,80.3
1942,0.47,3,2,84.4
1943,0.23,7,1,92.2
1944,0.48,7,2,82.2
1945,0.83,5,4,92.7
1946,0.86,3,3,96.3
1947,0.89,2,3,79.7
1948,0.76,2,4,89.7
1949,0.35,2,4,74
1950,0.61,2,2,95
1951,0.86,5,4,87.9
1952,0.78,4,3,100
1953,0.6,4,3,79
1954,0.39,2,3,82
1955,0.24,7,2,99
1956,0.84,7,3,96.4
1957,0.69,2,3,86
1958,0.4,3,3,92.9
1959,0.36,3,3,83
1960,0.27,7,3,88.9
1961,0.76,6,2,90
1962,0.49,5,2,80.9
1963,0.88,3,3,94.9
1964,0.76,5,2,92.7
1965,0.24,3,1,96.2
1966,0.31,8,3,96.8
1967,0.21,3,4,80.5
1968,0.68,3,3,92.2
1969,0.24,7,3,74.1
1970,0.5,8,3,84.6
1971,0.23,8,1,99.3
1972,0.37,6,2,81.6
1973,0.35,7,2,89.8
1974,0.37,5,4,74.9
1975,0.68,5,1,100
